,f2,f3,f4,f5,f6,f7,f8
0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,-0.3805902320421639,4.831193601137891,-1.8982361421359935,0.020833333333333332,0.35620723037691654,4.8225308641975306e-05,0.029432372933305608
3,-0.3029081574986199,5.09763072518707,-0.6353646616094352,0.020833333333333332,0.35620723037691654,4.8225308641975306e-05,0.029432372933305605
4,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12,N/A,N/A,N/A,N/A,N/A,N/A,N/A
13,N/A,N/A,N/A,N/A,N/A,N/A,N/A
14,N/A,N/A,N/A,N/A,N/A,N/A,N/A
15,N/A,N/A,N/A,N/A,N/A,N/A,N/A
16,N/A,N/A,N/A,N/A,N/A,N/A,N/A
17,N/A,N/A,N/A,N/A,N/A,N/A,N/A
18,-1.6433882578211891,3.2936702669386846,-6.070838764139937,0.020833333333333332,0.35620723037691654,4.8225308641975306e-05,0.029432372933305608
19,-0.05413398612367448,5.0576568881402295,-0.6960610721627482,0.020833333333333332,0.35620723037691654,4.8225308641975306e-05,0.029432372933305605
